GeneName,p-value
MIR6798,0.1777568204243813
MIR6799,0.1777568204243813
MIR6800,0.1777568204243813
RNU6-1332P,0.1777568204243813
RNU6-1335P,0.1777568204243813
MIR6805,0.1777568204243813
TLX1NB,0.1777568204243813
TLX3,0.1777568204243813
MIR6808,0.1777568204243813
MIR6811,0.1777568204243813
TM4SF5,0.1777568204243813
RNU6-1339P,0.1777568204243813
MIR6840,0.1777568204243813
MIR6838,0.1777568204243813
MIR6837,0.1777568204243813
MIR6836,0.1777568204243813
MIR6834,0.1777568204243813
MIR6831,0.1777568204243813
MIR6878,0.1777568204243813
RNU6-1340P,0.1777568204243813
MIR6823,0.1777568204243813
RNU6-133P,0.1777568204243813
MIR6821,0.1777568204243813
LINC02627,0.1777568204243813
MIR6818,0.1777568204243813
LINC02628,0.1777568204243813
MIR6824,0.1777568204243813
MIR6879,0.1777568204243813
DEFB106B,0.1777568204243813
DEFB106A,0.1777568204243813
MIR718,0.1777568204243813
MIR7515,0.1777568204243813
MIR759,0.1777568204243813
MIR761,0.1777568204243813
MIR762,0.1777568204243813
MIR764,0.1777568204243813
LCE2D,0.1777568204243813
MIR767,0.1777568204243813
MIR769,0.1777568204243813
RNU6-159P,0.1777568204243813
MIR7702,0.1777568204243813
MIR7703,0.1777568204243813
MIR7704,0.1777568204243813
MIR7705,0.1777568204243813
MIR7706,0.1777568204243813
LINC02578,0.1777568204243813
MIR7845,0.1777568204243813
MIR8052,0.1777568204243813
MIR802,0.1777568204243813
MIR7978,0.1777568204243813
MIR7977,0.1777568204243813
DDC-AS1,0.1777568204243813
RNU6-161P,0.1777568204243813
MIR7162,0.1777568204243813
MIR7973-2,0.1777568204243813
MIR7855,0.1777568204243813
MIR7852,0.1777568204243813
MIR7850,0.1777568204243813
MIR7849,0.1777568204243813
RNU6-160P,0.1777568204243813
MIR7846,0.1777568204243813
MIR7973-1,0.1777568204243813
MIR6789,0.1777568204243813
DEFA1,0.1777568204243813
MIR7158,0.1777568204243813
MIR6882,0.1777568204243813
MIR6883,0.1777568204243813
MIR6884,0.1777568204243813
MIR6885,0.1777568204243813
MIR6887,0.1777568204243813
DEFB105B,0.1777568204243813
MIR6890,0.1777568204243813
DEFB105A,0.1777568204243813
DEFB104A,0.1777568204243813
RNU6-152P,0.1777568204243813
DEFB1,0.1777568204243813
MIR7-2,0.1777568204243813
LCE1A,0.1777568204243813
LCE1D,0.1777568204243813
DEFA4,0.1777568204243813
MIR7106,0.1777568204243813
DEFA1B,0.1777568204243813
MIR7157,0.1777568204243813
LCE1F,0.1777568204243813
MIR7154,0.1777568204243813
MIR7153,0.1777568204243813
MIR7151,0.1777568204243813
MIR7150,0.1777568204243813
MIR7159,0.1777568204243813
MIR7114,0.1777568204243813
MIR7112,0.1777568204243813
RNU6-155P,0.1777568204243813
MIR7110,0.1777568204243813
RNU6-153P,0.1777568204243813
MIR7109,0.1777568204243813
MIR7108,0.1777568204243813
MIR7113,0.1777568204243813
MIR6788,0.1777568204243813
MIR6787,0.1777568204243813
MIR6786,0.1777568204243813
MIR626,0.1777568204243813
MIR629,0.1777568204243813
MIR630,0.1777568204243813
MIR631,0.1777568204243813
DMRTB1,0.1777568204243813
RNU6-129P,0.1777568204243813
RYR3-DT,0.1777568204243813
LINC02690,0.1777568204243813
MIR636,0.1777568204243813
MIR637,0.1777568204243813
MIR638,0.1777568204243813
MIR639,0.1777568204243813
MIR640,0.1777568204243813
PRNT,0.1777568204243813
MIR642B,0.1777568204243813
LACRT,0.1777568204243813
MIR650,0.1777568204243813
MIR6511B2,0.1777568204243813
MIR6511B1,0.1777568204243813
MIR6511A4,0.1777568204243813
MIR6510,0.1777568204243813
MIR651,0.1777568204243813
PRM1,0.1777568204243813
MIR625,0.1777568204243813
PRM2,0.1777568204243813
MIR6506,0.1777568204243813
LINC02686,0.1777568204243813
MIR6504,0.1777568204243813
MIR6503,0.1777568204243813
MIR6502,0.1777568204243813
MIR6501,0.1777568204243813
MIR6507,0.1777568204243813
MIR6513,0.1777568204243813
DMRTC1,0.1777568204243813
RNU6-1296P,0.1777568204243813
S100A12,0.1777568204243813
MIR6078,0.1777568204243813
MIR6079,0.1777568204243813
RNU6-1293P,0.1777568204243813
MIR6080,0.1777568204243813
MIR6082,0.1777568204243813
MIR6083,0.1777568204243813
MIR6084,0.1777568204243813
MIR6085,0.1777568204243813
MIR6086,0.1777568204243813
MIR6088,0.1777568204243813
MIR6089,0.1777568204243813
MIR609,0.1777568204243813
LINC02706,0.1777568204243813
MIR610,0.1777568204243813
MIR611,0.1777568204243813
LINC02705,0.1777568204243813
MIR621,0.1777568204243813
MIR620,0.1777568204243813
MIR618,0.1777568204243813
MIR617,0.1777568204243813
MIR614,0.1777568204243813
MIR6134,0.1777568204243813
LINC02699,0.1777568204243813
MIR6133,0.1777568204243813
MIR6131,0.1777568204243813
MIR6130,0.1777568204243813
MIR6128,0.1777568204243813
MIR6127,0.1777568204243813
MIR6126,0.1777568204243813
MIR6125,0.1777568204243813
MIR6132,0.1777568204243813
MIR8056,0.1777568204243813
RNU6-1308P,0.1777568204243813
MIR652,0.1777568204243813
MIR6748,0.1777568204243813
MIR675,0.1777568204243813
LINC02665,0.1777568204243813
MIR6751,0.1777568204243813
LINC02662,0.1777568204243813
MIR6755,0.1777568204243813
MIR6756,0.1777568204243813
RNU6-1322P,0.1777568204243813
MIR6758,0.1777568204243813
MIR6759,0.1777568204243813
MIR676,0.1777568204243813
MIR6760,0.1777568204243813
RNU6-1323P,0.1777568204243813
MIR6764,0.1777568204243813
MIR6765,0.1777568204243813
LINC02658,0.1777568204243813
RNU6-1325P,0.1777568204243813
MIR6785,0.1777568204243813
RNU6-1331P,0.1777568204243813
RNU6-1330P,0.1777568204243813
LINC02648,0.1777568204243813
RNU6-132P,0.1777568204243813
MIR6778,0.1777568204243813
LINC02667,0.1777568204243813
LINC02650,0.1777568204243813
MIR6774,0.1777568204243813
MIR6773,0.1777568204243813
RNU6-1328P,0.1777568204243813
RNU6-1326P,0.1777568204243813
TINAG-AS1,0.1777568204243813
MIR6769B,0.1777568204243813
MIR6776,0.1777568204243813
MIR6516,0.1777568204243813
MIR6744,0.1777568204243813
MIR6742,0.1777568204243813
MIR653,0.1777568204243813
LINC02683,0.1777568204243813
DLGAP2-AS1,0.1777568204243813
LAIR2,0.1777568204243813
MIR660,0.1777568204243813
MIR662,0.1777568204243813
PRKG2-AS1,0.1777568204243813
MIR664B,0.1777568204243813
MIR665,0.1777568204243813
MIR670,0.1777568204243813
MIR6715A,0.1777568204243813
MIR6715B,0.1777568204243813
MIR6716,0.1777568204243813
MIR6717,0.1777568204243813
MIR6718,0.1777568204243813
RNU6-1316P,0.1777568204243813
MIR6720,0.1777568204243813
MIR6741,0.1777568204243813
RNU6-1320P,0.1777568204243813
RNU6-131P,0.1777568204243813
PRKCZ-DT,0.1777568204243813
MIR6735,0.1777568204243813
MIR6734,0.1777568204243813
MIR6743,0.1777568204243813
MIR6733,0.1777568204243813
MIR6729,0.1777568204243813
LINC02672,0.1777568204243813
MIR6727,0.1777568204243813
MIR6726,0.1777568204243813
MIR6722,0.1777568204243813
RNU6-1317P,0.1777568204243813
MIR6732,0.1777568204243813
MS4A13,0.1777568204243813
RNU6-392P,0.1777568204243813
RNU6-287P,0.1777568204243813
LINC00917,0.1777568204243813
PDE6B-AS1,0.1777568204243813
LINC01574,0.1777568204243813
RNU6-769P,0.1777568204243813
RNU6-76P,0.1777568204243813
OCSTAMP,0.1777568204243813
RNU6-770P,0.1777568204243813
APOBEC1,0.1777568204243813
ODAM,0.1777568204243813
APCS,0.1777568204243813
RNU6-772P,0.1777568204243813
RNU7-167P,0.1777568204243813
RNU6-774P,0.1777568204243813
RNU6-768P,0.1777568204243813
PDCL2,0.1777568204243813
RNU6-776P,0.1777568204243813
RNU6-777P,0.1777568204243813
RNU7-164P,0.1777568204243813
RNU7-159P,0.1777568204243813
RNU6-778P,0.1777568204243813
RNU6-77P,0.1777568204243813
RNU7-157P,0.1777568204243813
RNU6-782P,0.1777568204243813
RNU7-156P,0.1777568204243813
RNU6-783P,0.1777568204243813
AOAH-IT1,0.1777568204243813
RNU7-155P,0.1777568204243813
RNU6-788P,0.1777568204243813
RNU6-775P,0.1777568204243813
OBP2B,0.1777568204243813
RNU6-766P,0.1777568204243813
RNU6-765P,0.1777568204243813
RNU7-182P,0.1777568204243813
NUPR2,0.1777568204243813
LINC01628,0.1777568204243813
RNU6-739P,0.1777568204243813
ARHGEF38-IT1,0.1777568204243813
RNU6-73P,0.1777568204243813
RNU6-741P,0.1777568204243813
LINC01616,0.1777568204243813
RNU6-743P,0.1777568204243813
RNU6-745P,0.1777568204243813
NXF2,0.1777568204243813
NXF2B,0.1777568204243813
LINC01612,0.1777568204243813
RNU6-746P,0.1777568204243813
PDHA2,0.1777568204243813
RNU7-176P,0.1777568204243813
RNU6-751P,0.1777568204243813
ZIC4-AS1,0.1777568204243813
RNU6-753P,0.1777568204243813
NXPH1,0.1777568204243813
RNU6-754P,0.1777568204243813
RNU6-756P,0.1777568204243813
NYX,0.1777568204243813
RNU6-760P,0.1777568204243813
RNU7-174P,0.1777568204243813
RNU7-173P,0.1777568204243813
RNU6-763P,0.1777568204243813
RNU6-764P,0.1777568204243813
AQP4,0.1777568204243813
RNU6-78P,0.1777568204243813
RNU7-153P,0.1777568204243813
RNU7-152P,0.1777568204243813
PCYT1B-AS1,0.1777568204243813
OR10H3,0.1777568204243813
OR10J5,0.1777568204243813
OR10P1,0.1777568204243813
ANK3-DT,0.1777568204243813
RNU6-812P,0.1777568204243813
OR10S1,0.1777568204243813
OR10T2,0.1777568204243813
OR10V1,0.1777568204243813
RNU7-137P,0.1777568204243813
OR10X1,0.1777568204243813
RNU6-815P,0.1777568204243813
RNU7-134P,0.1777568204243813
OR11H12,0.1777568204243813
RNU6-816P,0.1777568204243813
RNU7-133P,0.1777568204243813
RNU6-818P,0.1777568204243813
OR12D2,0.1777568204243813
RNU6-819P,0.1777568204243813
RNU6-81P,0.1777568204243813
RNU7-12P,0.1777568204243813
OR13C3,0.1777568204243813
OR13C4,0.1777568204243813
RNU6-820P,0.1777568204243813
OR13C8,0.1777568204243813
RNU6-821P,0.1777568204243813
OR13F1,0.1777568204243813
OR14A2,0.1777568204243813
RNU6-822P,0.1777568204243813
RNU7-128P,0.1777568204243813
OR10H2,0.1777568204243813
RNU6-738P,0.1777568204243813
RNU6-811P,0.1777568204243813
OR10G8,0.1777568204243813
RNU6-792P,0.1777568204243813
RNU6-793P,0.1777568204243813
ZNF25-DT,0.1777568204243813
RNU6-797P,0.1777568204243813
OOSP4A,0.1777568204243813
RNU6-798P,0.1777568204243813
RNU6-799P,0.1777568204243813
LINC01525,0.1777568204243813
OPALIN,0.1777568204243813
RNU7-14P,0.1777568204243813
LINC01523,0.1777568204243813
OPN1LW,0.1777568204243813
LINC01522,0.1777568204243813
OPN1MW2,0.1777568204243813
OPN1MW3,0.1777568204243813
RNU6-801P,0.1777568204243813
LINC01520,0.1777568204243813
RNU7-147P,0.1777568204243813
RNU6-803P,0.1777568204243813
RNU6-804P,0.1777568204243813
RNU7-144P,0.1777568204243813
RNU7-143P,0.1777568204243813
RNU6-806P,0.1777568204243813
OR10A7,0.1777568204243813
RNU7-138P,0.1777568204243813
OR10C1,0.1777568204243813
LINC00972,0.1777568204243813
OR10G6,0.1777568204243813
OR10G7,0.1777568204243813
OR10G9,0.1777568204243813
RNU7-126P,0.1777568204243813
RNU6-735P,0.1777568204243813
RNU7-183P,0.1777568204243813
WSPAR,0.1777568204243813
RNU6-664P,0.1777568204243813
RNU7-41P,0.1777568204243813
RNU6-666P,0.1777568204243813
RNU6-668P,0.1777568204243813
LINC01758,0.1777568204243813
XAGE2,0.1777568204243813
LINC01757,0.1777568204243813
XKR4-AS1,0.1777568204243813
RNU6-669P,0.1777568204243813
NRG1-IT3,0.1777568204243813
PFN3,0.1777568204243813
RNU6-66P,0.1777568204243813
LINC01766,0.1777568204243813
NRG3-AS1,0.1777568204243813
RNU6-670P,0.1777568204243813
LINC00708,0.1777568204243813
LINC00709,0.1777568204243813
RNU6-673P,0.1777568204243813
LINC01746,0.1777568204243813
LINC01745,0.1777568204243813
RNU6-675P,0.1777568204243813
RNU7-38P,0.1777568204243813
RNU6-679P,0.1777568204243813
PEX5L-AS2,0.1777568204243813
NRXN3-AS2,0.1777568204243813
RNU6-67P,0.1777568204243813
RNU6-682P,0.1777568204243813
LINC01753,0.1777568204243813
RNU7-42P,0.1777568204243813
RNU6-661P,0.1777568204243813
LINC01774,0.1777568204243813
RNU7-51P,0.1777568204243813
BETALINC1,0.1777568204243813
RNU6-633P,0.1777568204243813
RNU6-635P,0.1777568204243813
PHACTR3-AS1,0.1777568204243813
LINC01807,0.1777568204243813
RNU6-637P,0.1777568204243813
RNU6-639P,0.1777568204243813
LINC00686,0.1777568204243813
WDR81-AS1,0.1777568204243813
RNU6-641P,0.1777568204243813
RNU7-4P,0.1777568204243813
LINC01797,0.1777568204243813
RNU6-643P,0.1777568204243813
NPS,0.1777568204243813
RNU6-645P,0.1777568204243813
LINC00690,0.1777568204243813
RNU6-648P,0.1777568204243813
RNU6-649P,0.1777568204243813
PGLYRP4,0.1777568204243813
BARX1-DT,0.1777568204243813
RNU6-654P,0.1777568204243813
PGLYRP3,0.1777568204243813
LINC01784,0.1777568204243813
RNU6-655P,0.1777568204243813
RNU6-656P,0.1777568204243813
RNU6-65P,0.1777568204243813
RNU7-46P,0.1777568204243813
RNU6-660P,0.1777568204243813
RNU7-35P,0.1777568204243813
RNU7-34P,0.1777568204243813
LINC01735,0.1777568204243813
RNU6-686P,0.1777568204243813
LINC01682,0.1777568204243813
LINC01680,0.1777568204243813
RNU6-706P,0.1777568204243813
RNU7-21P,0.1777568204243813
RNU6-707P,0.1777568204243813
RNU6-709P,0.1777568204243813
ASCL4,0.1777568204243813
RNU6-70P,0.1777568204243813
ASCL2,0.1777568204243813
LINC01674,0.1777568204243813
RNU6-710P,0.1777568204243813
RNU7-19P,0.1777568204243813
RNU6-711P,0.1777568204243813
RNU6-712P,0.1777568204243813
RNU6-713P,0.1777568204243813
RNU7-197P,0.1777568204243813
RNU6-714P,0.1777568204243813
ZCCHC13,0.1777568204243813
RNU6-715P,0.1777568204243813
RNU6-716P,0.1777568204243813
RNU6-717P,0.1777568204243813
LINC01646,0.1777568204243813
LINC01645,0.1777568204243813
LINC01644,0.1777568204243813
RNU6-721P,0.1777568204243813
RNU7-190P,0.1777568204243813
LINC01639,0.1777568204243813
RNU7-188P,0.1777568204243813
RNU7-185P,0.1777568204243813
RNU7-23P,0.1777568204243813
RNU6-725P,0.1777568204243813
RNU7-24P,0.1777568204243813
RNU7-26P,0.1777568204243813
RNU6-687P,0.1777568204243813
ATP2B2-IT2,0.1777568204243813
ATP2B2-IT1,0.1777568204243813
RNU7-30P,0.1777568204243813
LINC01728,0.1777568204243813
RNU6-68P,0.1777568204243813
LINC01723,0.1777568204243813
RNU6-690P,0.1777568204243813
ATP11AUN,0.1777568204243813
RNU6-692P,0.1777568204243813
ATP10A-DT,0.1777568204243813
RNU6-693P,0.1777568204243813
LINC01718,0.1777568204243813
LINC01717,0.1777568204243813
ATOH1,0.1777568204243813
RNU6-694P,0.1777568204243813
RNU6-695P,0.1777568204243813
LINC01706,0.1777568204243813
RNU6-696P,0.1777568204243813
RNU7-2P,0.1777568204243813
LINC01701,0.1777568204243813
RNU6-697P,0.1777568204243813
RNU7-28P,0.1777568204243813
LINC01696,0.1777568204243813
ZBTB20-AS2,0.1777568204243813
RNU6-698P,0.1777568204243813
RNU6-699P,0.1777568204243813
RNU7-27P,0.1777568204243813
RNU6-700P,0.1777568204243813
LINC01688,0.1777568204243813
RNU6-823P,0.1777568204243813
OR1A2,0.1777568204243813
ZNF385D-AS2,0.1777568204243813
OR6N1,0.1777568204243813
OR6N2,0.1777568204243813
OR6P1,0.1777568204243813
RNU6-940P,0.1777568204243813
OR6S1,0.1777568204243813
OR6V1,0.1777568204243813
RNU6ATAC42P,0.1777568204243813
RNU6-941P,0.1777568204243813
RNU6ATAC41P,0.1777568204243813
LINC01282,0.1777568204243813
LINC01280,0.1777568204243813
LINC01074,0.1777568204243813
OR7G1,0.1777568204243813
RNU6-938P,0.1777568204243813
RNU6-947P,0.1777568204243813
OR8B12,0.1777568204243813
OR8B2,0.1777568204243813
RNU6-948P,0.1777568204243813
ADGB-DT,0.1777568204243813
OR8D2,0.1777568204243813
OR8H3,0.1777568204243813
OR8I2,0.1777568204243813
OR8J1,0.1777568204243813
LINC01075,0.1777568204243813
RNU6-949P,0.1777568204243813
OR8K3,0.1777568204243813
LINC01264,0.1777568204243813
RNU6ATAC37P,0.1777568204243813
LINC01276,0.1777568204243813
OR6K6,0.1777568204243813
OR6K2,0.1777568204243813
RNU6-935P,0.1777568204243813
OR5H2,0.1777568204243813
OR5I1,0.1777568204243813
OR5J2,0.1777568204243813
PARAL1,0.1777568204243813
LINC01066,0.1777568204243813
OR5L1,0.1777568204243813
OR5L2,0.1777568204243813
OR5M1,0.1777568204243813
RNU6-926P,0.1777568204243813
OR5M11,0.1777568204243813
OR5M3,0.1777568204243813
OR5M9,0.1777568204243813
LINC01309,0.1777568204243813
OR5T1,0.1777568204243813
RNU6-927P,0.1777568204243813
OR5T3,0.1777568204243813
OR5V1,0.1777568204243813
OR5W2,0.1777568204243813
OR6B3,0.1777568204243813
OR6C1,0.1777568204243813
OR6C2,0.1777568204243813
OR6C3,0.1777568204243813
RNU6-929P,0.1777568204243813
LINC01069,0.1777568204243813
RNU6-931P,0.1777568204243813
OR6C70,0.1777568204243813
OR6C74,0.1777568204243813
OR6C76,0.1777568204243813
RNU6-932P,0.1777568204243813
RNU6-950P,0.1777568204243813
OR8U3,0.1777568204243813
OR9G4,0.1777568204243813
OR9K2,0.1777568204243813
LINC01210,0.1777568204243813
RNU6-977P,0.1777568204243813
ACE2-DT,0.1777568204243813
RNU6ATAC21P,0.1777568204243813
RNU6-978P,0.1777568204243813
RNU6ATAC20P,0.1777568204243813
LINC01202,0.1777568204243813
RNU6ATAC19P,0.1777568204243813
LINC01195,0.1777568204243813
RNU6ATAC15P,0.1777568204243813
RNU6ATAC13P,0.1777568204243813
RNU6-980P,0.1777568204243813
RNU6ATAC11P,0.1777568204243813
RNU6-982P,0.1777568204243813
RNU6-983P,0.1777568204243813
RNU6-984P,0.1777568204243813
RNU6-985P,0.1777568204243813
PABPC1L2B-AS1,0.1777568204243813
RNU6-99P,0.1777568204243813
LINC01166,0.1777568204243813
RNU6-987P,0.1777568204243813
RNU6-989P,0.1777568204243813
RNU6-990P,0.1777568204243813
RNU6-991P,0.1777568204243813
LINC01153,0.1777568204243813
RNU6-996P,0.1777568204243813
RNU6-995P,0.1777568204243813
hsa-mir-1253,0.1777568204243813
LINC01147,0.1777568204243813
RNU6ATAC22P,0.1777568204243813
OR5H15,0.1777568204243813
LINC01216,0.1777568204243813
RNU6-974P,0.1777568204243813
RNU6-952P,0.1777568204243813
LINC01256,0.1777568204243813
LINC01255,0.1777568204243813
ADAMTS19-AS1,0.1777568204243813
RNU6-954P,0.1777568204243813
LINC01082,0.1777568204243813
RNU6-955P,0.1777568204243813
ADAM30,0.1777568204243813
RNU6-956P,0.1777568204243813
RNU6-957P,0.1777568204243813
ADAM2,0.1777568204243813
LINC01243,0.1777568204243813
RNU6-959P,0.1777568204243813
RNU6-95P,0.1777568204243813
RNU6-961P,0.1777568204243813
ACTRT2,0.1777568204243813
RNU6-965P,0.1777568204243813
ACTRT1,0.1777568204243813
RNU6-966P,0.1777568204243813
RNU6ATAC30P,0.1777568204243813
RNU6ATAC29P,0.1777568204243813
RNU6-970P,0.1777568204243813
PAGE3,0.1777568204243813
ACTL9,0.1777568204243813
PAGE1,0.1777568204243813
RNU6-971P,0.1777568204243813
RNU6ATAC28P,0.1777568204243813
LINC01222,0.1777568204243813
RNU6-973P,0.1777568204243813
RNU6-976P,0.1777568204243813
RNU6-919P,0.1777568204243813
RNU6-918P,0.1777568204243813
OR5F1,0.1777568204243813
OR2J1,0.1777568204243813
OR2M5,0.1777568204243813
OR2M7,0.1777568204243813
RNU6-862P,0.1777568204243813
OR2T1,0.1777568204243813
LINC01416,0.1777568204243813
RNU6-864P,0.1777568204243813
OR2T27,0.1777568204243813
OR2T29,0.1777568204243813
OR2T3,0.1777568204243813
OR2T34,0.1777568204243813
OR2T5,0.1777568204243813
RNU7-106P,0.1777568204243813
RNU7-104P,0.1777568204243813
LINC01034,0.1777568204243813
OR2W1,0.1777568204243813
OR2Y1,0.1777568204243813
RNU6-867P,0.1777568204243813
RNU6-86P,0.1777568204243813
OR4A15,0.1777568204243813
RNU6-871P,0.1777568204243813
LINC01395,0.1777568204243813
RNU7-1,0.1777568204243813
OR4B1,0.1777568204243813
OR4C11,0.1777568204243813
OR4C12,0.1777568204243813
OR4C15,0.1777568204243813
OR4C16,0.1777568204243813
OR4C3,0.1777568204243813
RNU7-10P,0.1777568204243813
OR4C5,0.1777568204243813
LINC01022,0.1777568204243813
OR2G3,0.1777568204243813
RNU7-121P,0.1777568204243813
RNU6-827P,0.1777568204243813
LINC01472,0.1777568204243813
AMELY,0.1777568204243813
RNU6-82P,0.1777568204243813
RNU7-120P,0.1777568204243813
RNU6-830P,0.1777568204243813
RNU6-831P,0.1777568204243813
RNU6-832P,0.1777568204243813
OR1R1,0.1777568204243813
OR1S1,0.1777568204243813
OR1S2,0.1777568204243813
RNU6-835P,0.1777568204243813
RNU6-837P,0.1777568204243813
RNU6-839P,0.1777568204243813
RNU6-840P,0.1777568204243813
LINC01445,0.1777568204243813
RNU6-843P,0.1777568204243813
RNU6-845P,0.1777568204243813
RNU6-847P,0.1777568204243813
RNU6-848P,0.1777568204243813
RNU6-849P,0.1777568204243813
OR2B3,0.1777568204243813
RNU7-116P,0.1777568204243813
RNU6-855P,0.1777568204243813
RNU7-111P,0.1777568204243813
LINC01019,0.1777568204243813
PCDH9-AS3,0.1777568204243813
PCDH9-AS1,0.1777568204243813
RNU6-857P,0.1777568204243813
BGLT3,0.1777568204243813
OR4C6,0.1777568204243813
OR4D11,0.1777568204243813
OR52E6,0.1777568204243813
OR52E8,0.1777568204243813
OR52J3,0.1777568204243813
RNU6-899P,0.1777568204243813
OR52L1,0.1777568204243813
OR52M1,0.1777568204243813
RNU6-901P,0.1777568204243813
RNU6-904P,0.1777568204243813
OR52R1,0.1777568204243813
RNU6-906P,0.1777568204243813
LINC01342,0.1777568204243813
OR56A5,0.1777568204243813
LINC01056,0.1777568204243813
RNU6-908P,0.1777568204243813
OR5AC2,0.1777568204243813
RNU6-909P,0.1777568204243813
LINC01333,0.1777568204243813
OR5AP2,0.1777568204243813
OR5AR1,0.1777568204243813
RNU6ATAC6P,0.1777568204243813
RNU6-913P,0.1777568204243813
RNU6-916P,0.1777568204243813
LINC01065,0.1777568204243813
RNU6-917P,0.1777568204243813
OR5BS1,0.1777568204243813
OR5D13,0.1777568204243813
OR5D14,0.1777568204243813
OR5D16,0.1777568204243813
OR5D18,0.1777568204243813
OR52E2,0.1777568204243813
RNU6-873P,0.1777568204243813
LINC01053,0.1777568204243813
LINC01052,0.1777568204243813
OR4D6,0.1777568204243813
LINC01040,0.1777568204243813
RNU6-874P,0.1777568204243813
LINC01387,0.1777568204243813
OR4F4,0.1777568204243813
RNU6-877P,0.1777568204243813
OR4K14,0.1777568204243813
LINC01377,0.1777568204243813
OR4L1,0.1777568204243813
OR4M2,0.1777568204243813
OR4M2B,0.1777568204243813
OR4N4,0.1777568204243813
OR4N4C,0.1777568204243813
OR4N5,0.1777568204243813
OR4S1,0.1777568204243813
OR4X1,0.1777568204243813
OR4X2,0.1777568204243813
OR51A2,0.1777568204243813
LINC01370,0.1777568204243813
RNU6-885P,0.1777568204243813
AGBL4-IT1,0.1777568204243813
AGBL4-AS1,0.1777568204243813
RNU6-887P,0.1777568204243813
OR51F1,0.1777568204243813
OR51F2,0.1777568204243813
RNU6-889P,0.1777568204243813
RNU6-894P,0.1777568204243813
OR51V1,0.1777568204243813
RNU6-895P,0.1777568204243813
RNU6-896P,0.1777568204243813
MS4A18,0.1777568204243813
BHLHE22-AS1,0.1777568204243813
LINC01813,0.1777568204243813
CHRNA6,0.1777568204243813
TRDV1,0.1777568204243813
RNU6-365P,0.1777568204243813
RNU6-366P,0.1777568204243813
CHRM1-AS1,0.1777568204243813
TRGC2,0.1777568204243813
TRGJ2,0.1777568204243813
TRGJP,0.1777568204243813
TRGJP1,0.1777568204243813
TRGJP2,0.1777568204243813
TRGV10,0.1777568204243813
TRGV11,0.1777568204243813
CHL1-AS2,0.1777568204243813
TRDJ4,0.1777568204243813
LINC02239,0.1777568204243813
RNU6-369P,0.1777568204243813
RNU6-371P,0.1777568204243813
RNU6-374P,0.1777568204243813
LINC00366,0.1777568204243813
CFTR-AS1,0.1777568204243813
CFC1B,0.1777568204243813
CFC1,0.1777568204243813
TRIM40,0.1777568204243813
PMIS2,0.1777568204243813
RNU6-376P,0.1777568204243813
LINC00375,0.1777568204243813
CFAP65-AS1,0.1777568204243813
RNU6-381P,0.1777568204243813
LINC02238,0.1777568204243813
TRDD3,0.1777568204243813
TRDD2,0.1777568204243813
LINC02248,0.1777568204243813
TRBV16,0.1777568204243813
TRBV17,0.1777568204243813
TRBV18,0.1777568204243813
TRBV19,0.1777568204243813
CIMIP4,0.1777568204243813
TRBV2,0.1777568204243813
RNU6-359P,0.1777568204243813
LINC00358,0.1777568204243813
TRBV20-1,0.1777568204243813
RNU6-361P,0.1777568204243813
TRBV23-1,0.1777568204243813
TRBV24-1,0.1777568204243813
TRBV25-1,0.1777568204243813
LINC00362,0.1777568204243813
TRBV3-1,0.1777568204243813
TRBV4-2,0.1777568204243813
TRBV5-1,0.1777568204243813
TRBV5-5,0.1777568204243813
TRBV5-6,0.1777568204243813
TRBV5-7,0.1777568204243813
TRBV6-1,0.1777568204243813
RNU6-362P,0.1777568204243813
RNU6-363P,0.1777568204243813
LINC00363,0.1777568204243813
TRBV6-3,0.1777568204243813
TRBV6-7,0.1777568204243813
TRBV7-1,0.1777568204243813
TRBV7-4,0.1777568204243813
TRDD1,0.1777568204243813
LINC02220,0.1777568204243813
TRIM67-AS1,0.1777568204243813
CFAP100-DT,0.1777568204243813
MYO3A,0.1777568204243813
CDRT7,0.1777568204243813
LINC02191,0.1777568204243813
TSPY1,0.1777568204243813
TSPY4,0.1777568204243813
TSPY8,0.1777568204243813
TSPY9,0.1777568204243813
RNU6-405P,0.1777568204243813
LINC00404,0.1777568204243813
LINC02184,0.1777568204243813
RNU6-406P,0.1777568204243813
LINC02180,0.1777568204243813
RNU6-408P,0.1777568204243813
RNU6-409P,0.1777568204243813
RNU6-410P,0.1777568204243813
LINC00411,0.1777568204243813
LINC02171,0.1777568204243813
CDH23-AS1,0.1777568204243813
NANOGP11,0.1777568204243813
RNU6-412P,0.1777568204243813
NANOS2,0.1777568204243813
LINC00424,0.1777568204243813
RNU6-413P,0.1777568204243813
LINC02165,0.1777568204243813
LINC02164,0.1777568204243813
LINC02162,0.1777568204243813
LINC00430,0.1777568204243813
RNU6-416P,0.1777568204243813
RNU6-417P,0.1777568204243813
LINC00434,0.1777568204243813
RNU6-401P,0.1777568204243813
TRBV15,0.1777568204243813
CDX2,0.1777568204243813
CDY1,0.1777568204243813
RNU6-382P,0.1777568204243813
TRIML1,0.1777568204243813
LINC00378,0.1777568204243813
LINC00387,0.1777568204243813
RNU6-383P,0.1777568204243813
RNU6-384P,0.1777568204243813
RNU6-386P,0.1777568204243813
RNU6-38P,0.1777568204243813
RNU6-391P,0.1777568204243813
MIR4764,0.1777568204243813
PLXNC1-AS1,0.1777568204243813
