GeneName,p-value
PLEKHA1,4.4386565989383156e-07
CERK,4.4457501377157067e-07
UBE2E2,4.539376668927713e-07
MTMR2,4.5527458300576165e-07
CPZ,4.56762163128293e-07
USF1,4.589110347502021e-07
FST,4.622808825432403e-07
SH3BP4,4.669480859980314e-07
CDK5R2,4.6783174399951444e-07
KCTD12,4.739872093562717e-07
CDC16,4.775472651001983e-07
FUNDC1,4.78027774313539e-07
APEX1,4.781770736823048e-07
MKRN2,4.786974055181211e-07
SUSD5,4.788030390333555e-07
GNL3L,4.798425052637557e-07
RNF185,4.820899915796739e-07
MIF4GD,4.826479887143416e-07
DDAH2,4.851379555033574e-07
TMEM107,4.863060374455773e-07
NFIB,4.879667393752056e-07
ATP8B1,4.884882967665356e-07
ALDH3A2,4.916222870126371e-07
RFTN1,4.935969238430765e-07
PWWP3B,4.958668777694679e-07
MT-CO3,4.967697608942211e-07
RFT1,4.991849723631774e-07
SPON1,5.003397183316497e-07
MT-CYB,5.015227255007923e-07
SOAT2,5.015622583216138e-07
C1orf54,5.028002175239312e-07
AGTPBP1,5.054237131841601e-07
TNFRSF13B,5.058571525233056e-07
PGAM1,5.060650666176931e-07
NHSL2,5.071333871328666e-07
MYL6B,5.145573732655932e-07
SUCNR1,5.162829209204034e-07
EPHB2,5.177750019482868e-07
FAM91A1,5.178876599920327e-07
UACA,5.415617353361912e-07
RARG,5.511692811896444e-07
PPP1R12B,5.518553452096821e-07
PFDN1,5.518944445256852e-07
ARHGEF17-AS1,5.52798105669403e-07
RBL2,5.583876997617666e-07
GEMIN8,5.586792850713556e-07
STX11,5.608277170551243e-07
CCDC97,5.639971064544716e-07
TIMP3,5.696533601420119e-07
SGMS2,5.707232208840906e-07
POLR3G,5.785244351237662e-07
SYNM,5.816772635149143e-07
FAM114A2,5.817407595902289e-07
RAD1,5.837076095114572e-07
AIFM3,5.909009871115696e-07
SH3D19,5.938746950929942e-07
MYH7,5.951367192643336e-07
NT5DC3,5.969776943417569e-07
GBE1,5.999305964886884e-07
PRKAA1,6.01180406007867e-07
RGS1,6.113431828284106e-07
MBNL1-AS1,6.136928940381547e-07
ABCD4,6.199960411329153e-07
COXFA4L2,6.258937032159514e-07
COMMD2,6.34817591414916e-07
ZBTB21,6.367173809915779e-07
ROBO3,6.373328825330028e-07
OAS2,6.38593658444149e-07
SIK2,6.395905037632628e-07
TRDMT1,6.446729584975244e-07
SERINC5,6.515351202994626e-07
GMDS-DT,6.654915001019461e-07
PPP2R2B,6.66534031494218e-07
MIR217HG,6.834636305119669e-07
OSGIN1,6.835236522033578e-07
SATB1,6.895985345038496e-07
TRAPPC2,6.924783036692506e-07
UBAP2L,6.963788142856418e-07
SH3BGRL2,6.977824764391597e-07
LINC02468,7.041471593301589e-07
ARRDC4,7.184712571050346e-07
CARMN,7.186537924704677e-07
AMIGO2,7.201826028952237e-07
SH3RF1,7.206867775104714e-07
TUBB2A,7.224849344493137e-07
MYH11,7.294366521368178e-07
MVP,7.358724701003103e-07
STING1,7.429686270922088e-07
KCTD20,7.446984536782226e-07
EIF1AY,7.476891905109465e-07
TNS2,7.489532965052965e-07
SMAD7,7.490143483668043e-07
PCDH10,7.52662410915001e-07
UTP6,7.536508129837541e-07
SCN4B,7.544753181780945e-07
TRIM69,7.62461569922886e-07
ITGBL1,7.694061921477298e-07
C1orf216,7.7214580732205e-07
ZSWIM5,7.732996284762266e-07
CNNM1,7.743886324709875e-07
DNAJC15,7.749371028596276e-07
OR51E2,7.764312379833716e-07
THOC2,7.88064586919581e-07
ABCC9,7.942845344670864e-07
CARMAL,8.036929260665829e-07
LOXL1-AS1,8.131964797376409e-07
TRPV6,8.261314956785996e-07
ATOSB,8.411741894313427e-07
UBA5,8.428740072293636e-07
NFIX,8.480765448026138e-07
